Calle Agustin Lara No. 69-B	Col. Ex-Normal Tuxtepec
Av. 18 De Marzo Esq. Blvd.M. Avila Camacho No. 1372	Col. Lazaro Cardenas Tuxtepec
Calle Aldama No. 144-A	Col. Centro Tuxtepec
Blvd. Benito Juarez No. 1291	Fracc.Los Angeles Tuxtepec
Av. 20 De Noviembre No. 970-B	Col. Centro
Calle Morelos No.426	Col. Centro Tuxtepec
Prol. Av. 5 De Mayo No. 270	Col. Ma. Eugenia Tuxtepec
Libertad No. 2005	Centro
Boulevar Bgenito Juarez 1291	Frac. Los Angeles
20 De Noviembre No. 1081	Centro
Av. 20 De Noviembre No. 1081	Col. Centro Tuxtepec
Av. Independencia No. 574	Centro
Independencia No. 605	Centro
Av. Independencia No 1021	Centro Tuxtepec
Hidalgo No 689	Lazaro Cardenas
Av. Independencia No. 497	Col.Centro Tuxtepec
Av. Independencia No. 497	Centro
Avenida 5 De Mayo No. 1226	Centro
Av Independencia No. 545-B	Centro
Calle Matamoros No. 40	Col. Centro Tuxtepec
Blvd. Manuel Avila Camacho 435	Maria Luisa Tuxtepec
Av. 20 De Noviembre No. 1105 Esq.Ocampo	Col. La Piragua Tuxtepec
Calle Matamoros No. 147	Col.Centro Tuxtepec.
Av. Independencia No. 390 Antes 396	Col.Centro Tuxtepec.
Av. 20 De Noviembre No. 1027	Col.Centro Tuxtepec
Av. Independencia No.745-Bis	Col.Centro
Av. Jesus Carranza No. 123	Col. Lazaro Cardenaz Tuxtepec
Av. Jesus Carranza No. 123	Col. Lazaro Cardenaz Tuxtepec
Av. 20 De Nov. No. 1372	Col. La Piragua Tuxtepec
Av. 5 De Mayo No.1380	Col.Centro Tuxtepec
Av. Independencia No.117 Esq.Arista	Col. La Piragua
20 De Noviembre 1501	Centro
Independencia 85	Centro
Daniel Soto No.370	Col.Ma. Luisa Tuxtepec
Av. Independencia No. 611	Col.Centro Tuxtepec
Av. Independencia No. 413	Col.Centro Tuxtepec.Oax.
Calle Ocampo No.420	Centro Tuxtepec
Prolong. Independencia No. 2237	Col. Oaxaca Tuxtepec
Av. Independencia No. 718	Col.Centro Tuxtepec
Av. 1o. De Mayo No. 29	Col. Ma. Luisa Tuxtepec
Calle Aldama No.233-A	Col.Centro
Av. Independencia No.147	Col. Centro Tuxtepec. Oax.
Independencia No. 569 B	Centro
Libertad 56	Zona Centro
Calle Melchor Ocampo No. 635	Col. Ma. Luisa Tuxtepec
Av. Independencia No.1004	Col. Centro Tuxtepec
Av. 5 De Mayo No. 1637	Col. Centro Tuxtepec
Av. 5 De Mayo 1634	Centro
Ponciano Arriaga No. 43	5 De Mayo
Calle Matamoros No.29-3	Col. Centro
Av. Jesus Carranza No. 1067	Col. Centro Tuxtepec
Av. Ferrocarril S/N.	Col. Centro Pueblo Nuevo. Papaloapan
Av. 5 De Mayo No.1544	Centro Tuxtepec
Matamoros No. 138	Centro Tuxpec
Av. 20 De Noviembre No. 1037	Centro Tuxtepec
Av. 20 De Noviembre No. 1037	Centro Tuxtepec
Av. 20 De Noviembre No. 1139-B	Col.Centro Tuxtepec
Av. 20 De Noviembre No50221	La Piragua
Av. 5 De Mayo No. 1350	Centro Tuxtepec
Av. Independencia No. 393	Centro
Bulevar No810	La Piragua
Calle Sebastian Ortiz No.549	Centro
Calle Morelos No. 30	Col. Centro
Calle Morelos No. 330 Int.2	Col.Centro Tuxtepec
Av 5 De Mayo 659	Centro
Ocampo 38	Centro
Av. 20 De Noviembre No. 1070	Col.Centro Tuxtepec.Oax.
Av. 5 De Mayo No. 1401	Col. Centro
Av. Independencia N0.1166	Col. Centro Tuxtepec
Av. 20 De Noviembre No. 964	Col. Centro Tuxtepec
Av. 20 De Noviembre No. 933	Col. Centro
Av. Independencia No. 1811	Col. La Piragua Tuxtepec
Calle Ocampo No.266	Col.Centro Tuxtepec
Av. Independencia No. 1162	Centro
Av. Independencia N0.900	Col. La Piragua Tuxtepec
Av. Independencia No.900	La Piragua
Calle Aldama No.53	Col.Centro Tuxtepec
20 De Noviembre 1371	Centro
Av. 1o. De Mayo No. 240	Col.Costa Verde
Calle Hidalgo No. 501	Col.Centro Tuxtepec
Aldama No. 720	Lazaro Cardenas
20 De Noviembre No 1422	La Piragua
Libertad No. 1046	Centro
Av. Independencia No 1023	La Piragua Tuxtepec
Av. Libertad No. 1046	Col. Centro Tuxtepec
Av. 5 De Mayo No. 1683	Col.La Piragua Tuxtepec
Av. Independencia No.587	Col.Centro Tuxtepec
Independencia No. 587	Centro
Av. Independencia No.677	La Piragua
Matamoros #2 Col. Centro
Blvd. Francisco  Arteaga No.1984 Col. Ex-Normal Tuxtepec
Blvd. Benito Juarez Esq. Ignacio Matias S/N.	Col.Centro Tuxtepec
Bulevar Benito Juarez Esquina I. Matias S/N	Reposo
C. Benito Juarez No. 72	Col.Centro Tuxtepec
Av. Independencia No. 684 Altos	Centro
Av. 20 De Noviembre Esq.Emiliano Zapata S/N Col. Centro
Av. Libertad No. 1207	Col. Centro
Av. 5 De Mayo No. 660	Col.Centro Tuxtepec
Av. Alfonso Caso No. 15	Centro Tuxtepec
Calle Aldama No.70	Centro Tuxtepec
Av. Nuevo Mexico #376 Col. Las Flores
Calle Arteaga No. 1027	Lazaro Cardenas
Independencia No. 1420	La Piragua
Av. 20 De Noviembre No. 1960 Col.Centro Tuxtepec.
Av. 20 De Noviembre 813	Centro
Florida #809 Col. Volcanes
Independencia 623	Centro
Matamoros No. 225	Centro Tuxtepec Oax.
Km.5 Carret.Tux-Pte. Caracol	Tuxtepec.
Av. 5 De Mayo No. 1906	La Piragua Tuxtepec
Independencia No. 377	Centro
Av. Independencia No. 584	Centro
Av. Independencia S/N.	Col.Centro Tuxtepec.Oax.
Av. Independencia No.908	La Piragua
Av. Independencia No 511 A	Centro Tuxtepec
20 De Noviembre 1041	Centro
Jesus Carranza 991	Centro
Aleman #753 Fraccionamiento Costa Verde
Aleman	#654 Col. Costa Verde
Av 3 Esquina Calle 2	Costa Verde
Guerrero Esc Muro	Centro
